feature,importance,group
categorical__team_CEC,0.0,team
categorical__team_CES,0.0,team
categorical__team_CG,0.0,team
categorical__team_CGN,0.0,team
categorical__team_CGZ,0.0,team
categorical__team_CHS,0.0,team
categorical__team_CHSV,0.0,team
categorical__team_CHU,0.0,team
categorical__team_CJ,0.0,team
categorical__team_CL,0.0,team
categorical__team_CLG,0.0,team
categorical__team_CLOY,0.0,team
categorical__team_CLR,0.0,team
categorical__team_CLS,0.0,team
categorical__team_CLX,0.0,team
categorical__team_CN,0.0,team
categorical__team_CNE,0.0,team
categorical__team_CNG,0.0,team
categorical__team_CNJ,0.0,team
categorical__team_CNL,0.0,team
categorical__team_CNZ,0.0,team
categorical__team_COL,0.0,team
categorical__team_COME,0.0,team
categorical__team_CONN,0.0,team
categorical__team_CORE,0.0,team
categorical__team_COUS,0.0,team
categorical__team_CR,0.0,team
categorical__team_CRAZ,0.0,team
categorical__team_CRL,0.0,team
categorical__team_CRUS,0.0,team
categorical__team_CRX,0.0,team
categorical__team_CSE,0.0,team
categorical__team_CSS,0.0,team
categorical__team_CT,0.0,team
categorical__team_CTL,0.0,team
categorical__team_CUEK,0.0,team
categorical__team_CZY,0.0,team
categorical__team_CaRa,0.0,team
categorical__team_Call,0.0,team
categorical__team_Cami,0.0,team
categorical__team_Capa,0.0,team
categorical__team_Capr,0.0,team
categorical__team_Capy,0.0,team
categorical__team_Carn,0.0,team
categorical__team_Cast,0.0,team
categorical__team_Cavalry,0.0,team
categorical__team_Cele,0.0,team
categorical__team_Cels,0.0,team
categorical__team_Cham,0.0,team
categorical__team_ChiP,0.0,team
categorical__team_Chic,0.0,team
categorical__team_Chil,0.0,team
categorical__team_Chim,0.0,team
categorical__team_Chiz,0.0,team
categorical__team_Chos,0.0,team
categorical__team_Circ,0.0,team
categorical__team_Clan,0.0,team
categorical__team_Clar,0.0,team
categorical__team_Clea,0.0,team
categorical__team_Clev,0.0,team
categorical__team_Clic,0.0,team
categorical__team_Clou,0.0,team
categorical__team_CoT,0.0,team
categorical__team_Cobr,0.0,team
categorical__team_Corn,0.0,team
categorical__team_Crad,0.0,team
categorical__team_Craf,0.0,team
categorical__team_Crea,0.0,team
categorical__team_Crem,0.0,team
categorical__team_Crit,0.0,team
categorical__team_Cros,0.0,team
categorical__team_Crow,0.0,team
categorical__team_Csop,0.0,team
categorical__team_CtL,0.0,team
categorical__team_Cune,0.0,team
categorical__team_Cunn,0.0,team
categorical__team_Curr,0.0,team
categorical__team_Cybe,0.0,team
categorical__team_Cycl,0.0,team
categorical__team_D2E,0.0,team
categorical__team_DART,0.0,team
categorical__team_DAT,0.0,team
categorical__team_DATH,0.0,team
categorical__team_DAYN,0.0,team
categorical__team_DBG,0.0,team
categorical__team_DC,0.0,team
categorical__team_DCSV,0.0,team
categorical__team_DEEZ,0.0,team
categorical__team_DEF,0.0,team
categorical__team_DEFE,0.0,team
categorical__team_DEFY,0.0,team
categorical__team_DELU,0.0,team
categorical__team_DESE,0.0,team
categorical__team_DEVI,0.0,team
categorical__team_DEWA,0.0,team
categorical__team_DFM,0.0,team
