team,count,mean,median
XSET,85,0.9835294117647058,0.93
Waka,20,0.9834999999999999,1.045
Nowy,50,0.9832,0.915
TAC,35,0.9822857142857143,1.01
Uzhi,30,0.9803333333333334,0.98
JH,70,0.9802857142857143,0.985
PRD,15,0.9800000000000001,0.96
Titx,2,0.98,0.98
frea,15,0.9793333333333333,0.95
Stuv,40,0.9782500000000001,0.965
RTG,95,0.9782105263157894,0.95
unra,20,0.978,0.9650000000000001
CG,30,0.978,0.895
CEC,85,0.977764705882353,0.96
Mini,35,0.9777142857142856,0.96
Stat,40,0.9772500000000001,0.95
ад,40,0.977,1.0150000000000001
gucc,50,0.977,0.97
LP,35,0.9765714285714285,0.99
Poin,35,0.9762857142857143,0.98
BX,35,0.9760000000000001,0.96
play,30,0.9756666666666667,0.935
Valo,55,0.9750909090909091,1.0
Anat,75,0.9749333333333334,0.93
CARS,25,0.9740000000000001,1.02
AHEK,30,0.9736666666666667,0.915
99C,20,0.9734999999999999,0.995
SS,75,0.9730666666666667,0.97
ELUS,55,0.9727272727272728,1.03
KBB,45,0.9724444444444444,0.97
Abso,50,0.971,0.96
SSP,30,0.971,0.805
Woof,55,0.9703636363636363,0.98
MBK,40,0.9695,1.0150000000000001
mix5,55,0.969090909090909,0.91
LGND,10,0.969,0.97
PUNC,20,0.969,0.91
AKQJ,25,0.968,0.97
TBA2,40,0.96775,0.895
THA,30,0.9676666666666667,0.92
WOL,80,0.9675,0.97
WEDA,20,0.967,0.96
head,30,0.966,0.9450000000000001
NEVE,15,0.966,0.92
TheL,15,0.966,1.07
Lets,10,0.966,0.975
EP,75,0.9656,0.95
15 K,20,0.9654999999999999,1.045
ALTI,50,0.9640000000000001,0.945
kom4ka,45,0.9637777777777777,0.98
Unit,163,0.9636196319018404,0.95
Free,60,0.9633333333333333,0.995
M8,620,0.9625967741935485,0.95
IW,155,0.9625806451612903,0.96
Que,20,0.9625,0.94
GG,95,0.9624210526315791,0.93
BOSS,20,0.962,0.915
VKS,110,0.9604545454545456,0.91
COUS,45,0.9602222222222222,1.02
Farc,30,0.9600000000000001,0.955
Orde,20,0.96,0.89
Vozm,25,0.9592,0.95
soyb,20,0.9584999999999999,0.9299999999999999
Epq,15,0.9580000000000001,0.85
MBVI,15,0.958,0.88
FINs,10,0.958,1.0
OS,400,0.9577,0.93
Mustang,45,0.9571111111111111,0.94
Eter,40,0.9570000000000001,0.99
TGH,105,0.9562857142857143,0.94
Bifr,85,0.9558823529411765,0.94
Proj,70,0.9555714285714286,0.9450000000000001
SENT,45,0.9555555555555556,0.93
Espo,65,0.9555384615384616,0.94
We R,15,0.9553333333333334,0.94
Powe,20,0.9550000000000001,1.045
FRG,130,0.9546923076923077,0.975
BOY,30,0.9546666666666667,0.88
TGRD,25,0.9544,0.87
Trea,5,0.954,0.98
CCG,45,0.954,0.91
lave,40,0.95375,0.995
Igni,135,0.9537037037037037,0.94
5M,93,0.9536559139784946,0.94
cool,3,0.9533333333333335,1.03
SNG,185,0.9528648648648649,0.94
WaVii,60,0.9526666666666667,0.935
ABB,20,0.952,0.97
Merc,30,0.9516666666666667,0.9299999999999999
OXG,230,0.9512173913043478,0.94
bana,20,0.951,0.87
tryi,65,0.9507692307692307,0.92
BK ROG,95,0.9507368421052631,0.92
Top,75,0.9502666666666666,0.93
Noob,15,0.95,1.05
Fpal,20,0.95,0.79
ZETA,165,0.9498787878787878,0.91
Hard,50,0.9495999999999999,0.86
We D,40,0.9494999999999999,0.95
The,135,0.9493333333333334,0.91
